1 2.29160062
2 2.15301945
3 1.92983909
4 1.66220406
5 1.38728483
6 1.20716478
7 1.08752182
8 0.97847569
9 0.87291754
10 0.76898699
11 0.66640923
12 0.56464483
13 0.47918081
14 0.41961302
15 0.37962261
16 0.35094742
17 0.32852714
18 0.31005017
19 0.29322977
20 0.27935754
21 0.26707597
22 0.25655668
23 0.24647924
24 0.23850452
25 0.23041111
26 0.22238460
27 0.21626719
28 0.20919166
29 0.20299702
30 0.19762060
31 0.19189996
32 0.18700456
33 0.18186716
34 0.17602876
35 0.17283787
36 0.16808926
37 0.16449194
38 0.16021583
39 0.15695554
40 0.15419675
41 0.15084996
42 0.14701575
43 0.14381107
44 0.14168452
45 0.13799794
46 0.13526169
47 0.13355486
48 0.13088494
49 0.12804554
50 0.12565868
